entry_id,run_id,sitemap_url,url,entry_kind,lastmod,sitemap_lastmod,changefreq,priority,extensions_json,hreflang_links_json,namespace_decls_json
11,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/sitemap.xml,https://void-agency.com/,url,2026-02-25,,weekly,0.9,"{""image"": [], ""news"": {}, ""video"": []}",[],"{""default"": ""http://www.sitemaps.org/schemas/sitemap/0.9"", ""image"": ""http://www.google.com/schemas/sitemap-image/1.1""}"
12,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/sitemap.xml,https://void-agency.com/insights,url,2026-02-25,,weekly,0.9,"{""image"": [], ""news"": {}, ""video"": []}",[],"{""default"": ""http://www.sitemaps.org/schemas/sitemap/0.9"", ""image"": ""http://www.google.com/schemas/sitemap-image/1.1""}"
13,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/sitemap.xml,https://void-agency.com/insights/map-pack-playbook,url,2026-02-25,,monthly,0.9,"{""image"": [], ""news"": {}, ""video"": []}",[],"{""default"": ""http://www.sitemaps.org/schemas/sitemap/0.9"", ""image"": ""http://www.google.com/schemas/sitemap-image/1.1""}"
14,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/sitemap.xml,https://void-agency.com/insights/texas-seo,url,2026-02-25,,monthly,0.9,"{""image"": [], ""news"": {}, ""video"": []}",[],"{""default"": ""http://www.sitemaps.org/schemas/sitemap/0.9"", ""image"": ""http://www.google.com/schemas/sitemap-image/1.1""}"
15,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/sitemap.xml,https://void-agency.com/insights/texas-market-2026,url,2026-02-25,,monthly,0.9,"{""image"": [], ""news"": {}, ""video"": []}",[],"{""default"": ""http://www.sitemaps.org/schemas/sitemap/0.9"", ""image"": ""http://www.google.com/schemas/sitemap-image/1.1""}"
16,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/sitemap.xml,https://void-agency.com/insights/case-study,url,2026-02-25,,monthly,0.85,"{""image"": [], ""news"": {}, ""video"": []}",[],"{""default"": ""http://www.sitemaps.org/schemas/sitemap/0.9"", ""image"": ""http://www.google.com/schemas/sitemap-image/1.1""}"
17,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/sitemap.xml,https://void-agency.com/insights/smb-guide,url,2026-02-25,,monthly,0.85,"{""image"": [], ""news"": {}, ""video"": []}",[],"{""default"": ""http://www.sitemaps.org/schemas/sitemap/0.9"", ""image"": ""http://www.google.com/schemas/sitemap-image/1.1""}"
18,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/sitemap.xml,https://void-agency.com/insights/site-speed,url,2026-02-25,,monthly,0.8,"{""image"": [], ""news"": {}, ""video"": []}",[],"{""default"": ""http://www.sitemaps.org/schemas/sitemap/0.9"", ""image"": ""http://www.google.com/schemas/sitemap-image/1.1""}"
19,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/sitemap.xml,https://void-agency.com/insights/texas-cost-stack,url,2026-02-25,,monthly,0.8,"{""image"": [], ""news"": {}, ""video"": []}",[],"{""default"": ""http://www.sitemaps.org/schemas/sitemap/0.9"", ""image"": ""http://www.google.com/schemas/sitemap-image/1.1""}"
20,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/sitemap.xml,https://void-agency.com/insights/builder-incentives,url,2026-02-25,,monthly,0.8,"{""image"": [], ""news"": {}, ""video"": []}",[],"{""default"": ""http://www.sitemaps.org/schemas/sitemap/0.9"", ""image"": ""http://www.google.com/schemas/sitemap-image/1.1""}"
21,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/sitemap.xml,https://void-agency.com/insights/recruiting,url,2026-02-25,,monthly,0.75,"{""image"": [], ""news"": {}, ""video"": []}",[],"{""default"": ""http://www.sitemaps.org/schemas/sitemap/0.9"", ""image"": ""http://www.google.com/schemas/sitemap-image/1.1""}"
22,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/sitemap.xml,https://void-agency.com/insights/video-strategy,url,2026-02-25,,monthly,0.75,"{""image"": [], ""news"": {}, ""video"": []}",[],"{""default"": ""http://www.sitemaps.org/schemas/sitemap/0.9"", ""image"": ""http://www.google.com/schemas/sitemap-image/1.1""}"
23,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/sitemap.xml,https://void-agency.com/insights/data-maturity,url,2026-02-25,,monthly,0.75,"{""image"": [], ""news"": {}, ""video"": []}",[],"{""default"": ""http://www.sitemaps.org/schemas/sitemap/0.9"", ""image"": ""http://www.google.com/schemas/sitemap-image/1.1""}"
24,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/sitemap.xml,https://void-agency.com/privacy,url,2026-02-25,,yearly,0.3,"{""image"": [], ""news"": {}, ""video"": []}",[],"{""default"": ""http://www.sitemaps.org/schemas/sitemap/0.9"", ""image"": ""http://www.google.com/schemas/sitemap-image/1.1""}"
25,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/sitemap.xml,https://void-agency.com/terms,url,2026-02-25,,yearly,0.3,"{""image"": [], ""news"": {}, ""video"": []}",[],"{""default"": ""http://www.sitemaps.org/schemas/sitemap/0.9"", ""image"": ""http://www.google.com/schemas/sitemap-image/1.1""}"
